Command	Description
for …do	Runs a for command multiple times as specified.
kubectl cluster-info
kubectl apply	Applies a configuration to a resource.
kubectl config get-clusters	Displays clusters defined in the kubeconfig.
kubectl config get-contexts	Displays the current context.
kubectl create	Creates a resource.
kubectl delete	Deletes resources.
kubectl describe	Shows details of a resource or group of resources.
kubectl expose	Exposes a resource to the internet as a Kubernetes service.
kubectl get	Displays resources.
kubectl get pods	Lists all the Pods.
kubectl get pods -o wide	Lists all the Pods with details.
kubectl get deployments	Lists the deployments created.
kubectl get services	Lists the services created.
kubectl proxy	Creates a proxy server between a localhost and the Kubernetes API server.
kubectl run	Creates and runs a particular image in a pod.
kubectl version	Prints the client and server version information.

kubectl autoscale deployment	Autoscales a Kubernetes Deployment.
kubectl create configmap	Creates a ConfigMap resource.
kubectl get deployments -o wide	Lists deployments with details.
kubectl get hpa	Lists Horizontal Pod Autoscalers (hpa)
kubectl scale deployment	Scales a deployment.
kubectl set image deployment	Updates the current deployment.
kubectl rollout	Manages the rollout of a resource.
kubectl rollout restart	Restarts the resource so that the containers restart.
kubectl rollout undo	Rollbacks the resource.
